year,hpi real
1971.29166666665,108.617500363407
1971.37499999998,108.869917129682
1971.45833333332,109.200234230247
1971.54166666665,109.106080751405
1971.62499999998,109.186113731628
1971.70833333332,109.446701115236
1971.79166666665,109.525705603176
1971.87499999998,110.392206438644
1971.95833333332,110.113703372061
1972.04166666665,110.458617086617
1972.12499999998,110.181141101965
1972.20833333332,109.829399495027
1972.29166666665,109.735544962126
1972.37499999998,109.812525711454
1972.45833333332,110.229088175852
1972.54166666665,110.802501822312
1972.62499999998,110.960589724766
1972.70833333332,110.61284513119
1972.79166666665,110.006070723547
1972.87499999998,109.830207076017
1972.95833333332,109.655171022122
1973.04166666665,109.148187868286
1973.12499999998,108.384913827249
1973.20833333332,107.465514817692
1973.29166666665,106.726073201974
1973.37499999998,106.238923846407
1973.45833333331,105.758387378019
1973.54166666665,105.439655388067
1973.62499999998,104.512296999915
1973.70833333331,104.673109220829
1973.79166666665,104.532114494564
1973.87499999998,104.312164519706
1973.95833333331,104.325200156019
1974.04166666665,104.266268665146
1974.12499999998,103.766779499651
1974.20833333331,103.576397879487
1974.29166666665,103.5139950151
1974.37499999998,102.746495465932
1974.45833333331,102.486358917975
1974.54166666665,102.158694451422
1974.62499999998,101.854227106442
1974.70833333331,101.627019627688
1974.79166666665,101.46487385843
1974.87499999998,101.433765568029
1974.95833333331,102.22255607603
1975.04166666665,103.774823916132
1975.12499999998,103.151261270423
1975.20833333331,103.003407842176
1975.29166666665,102.763640683876
1975.37499999998,102.485800054679
1975.45833333331,101.669084228521
1975.54166666665,101.116033051604
1975.62499999998,101.540604006926
1975.70833333331,101.985931703434
1975.79166666665,102.141874673828
1975.87499999998,102.091792106029
1975.95833333331,102.067021538713
1976.04166666665,102.360653603271
1976.12499999998,102.246855816951
1976.20833333331,102.929023966449
1976.29166666665,103.538493995649
1976.37499999998,103.960553288473
1976.45833333331,103.705301942955
1976.54166666665,104.037317321247
1976.62499999998,104.179474574425
1976.70833333331,104.564416703704
1976.79166666665,104.358928151203
1976.87499999998,104.780336718595
1976.95833333331,105.291599951738
1977.04166666664,105.636796058449
1977.12499999998,105.798939814101
1977.20833333331,106.58369894688
1977.29166666664,107.564198491986
1977.37499999998,108.345536839238
1977.45833333331,108.435283400838
1977.54166666664,109.010445122094
1977.62499999998,109.755533162115
1977.70833333331,110.840772442366
1977.79166666664,111.884228846918
1977.87499999998,112.493077334726
1977.95833333331,113.140347171421
1978.04166666664,113.542602521957
1978.12499999998,114.082617162308
1978.20833333331,114.759021828593
1978.29166666664,115.351172826423
1978.37499999998,115.850590986569
1978.45833333331,116.329737941052
1978.54166666664,117.069580096791
1978.62499999998,118.077402429205
1978.70833333331,118.425175495858
1978.79166666664,118.511035127337
1978.87499999998,119.228009654838
1978.95833333331,120.099820746315
1979.04166666664,120.620589383609
1979.12499999998,120.716660108111
1979.20833333331,121.100102347821
1979.29166666664,121.285683238341
1979.37499999998,121.321162418468
1979.45833333331,121.499933688374
1979.54166666664,121.51380008958
1979.62499999998,121.570264279368
1979.70833333331,121.281929298548
1979.79166666664,121.375582891552
1979.87499999998,121.116015561101
1979.95833333331,120.575287788112
1980.04166666664,119.478310973925
1980.12499999998,118.498704035152
1980.20833333331,117.719845894464
1980.29166666664,117.505487093658
1980.37499999998,117.180268113204
1980.45833333331,116.608785637012
1980.54166666664,117.4186227735
1980.62499999998,117.256145332902
1980.70833333331,116.836868818664
1980.79166666664,116.196391855583
1980.87499999997,115.703053543148
1980.95833333331,115.08917812759
1981.04166666664,114.524713736155
1981.12499999997,113.814618364423
1981.20833333331,113.715134829516
1981.29166666664,113.953200029454
1981.37499999997,113.848855466608
1981.45833333331,113.573342829101
1981.54166666664,112.912774565537
1981.62499999997,112.631369881797
1981.70833333331,111.752649977587
1981.79166666664,111.659970516799
1981.87499999997,111.309318731038
1981.95833333331,111.045128540659
1982.04166666664,110.766735842459
1982.12499999997,110.594154888458
1982.20833333331,110.647786349646
1982.29166666664,110.323457380994
1982.37499999997,109.427728610345
1982.45833333331,108.067365794245
1982.54166666664,107.484644449042
1982.62499999997,107.218622333436
1982.70833333331,107.036740980687
1982.79166666664,106.707565876438
1982.87499999997,106.931886611178
1982.95833333331,107.552096743566
1983.04166666664,107.693151102066
1983.12499999997,108.142668551721
1983.20833333331,108.592907839533
1983.29166666664,108.377512686832
1983.37499999997,108.263406851185
1983.45833333331,108.466003051638
1983.54166666664,108.648563676159
1983.62499999997,108.803746740956
1983.70833333331,108.552490006993
1983.79166666664,108.435555635486
1983.87499999997,108.369261118582
1983.95833333331,108.545326748023
1984.04166666664,108.223272953695
1984.12499999997,108.04170920444
1984.20833333331,108.321195557126
1984.29166666664,108.399813681869
1984.37499999997,108.768199824185
1984.4583333333,109.078743139609
1984.54166666664,109.259805600001
1984.62499999997,109.363721181324
1984.7083333333,109.162882052511
1984.79166666664,109.053047833616
1984.87499999997,109.069304087602
1984.9583333333,109.307051802148
1985.04166666664,109.477076039631
1985.12499999997,109.455234841872
1985.2083333333,109.665155382083
1985.29166666664,109.890818977122
1985.37499999997,110.316712132429
1985.4583333333,110.802587510251
1985.54166666664,111.388994623344
1985.62499999997,111.95143631774
1985.7083333333,112.362467650454
1985.79166666664,112.580869928947
1985.87499999997,112.883487335055
1985.9583333333,113.174655197164
1986.04166666664,113.544273697498
1986.12499999997,114.529360381237
1986.2083333333,115.922988580629
1986.29166666664,117.2063394629
1986.37499999997,117.99360127197
1986.4583333333,118.515607292111
1986.54166666664,119.693924047216
1986.62499999997,120.511434056077
1986.7083333333,120.855879281584
1986.79166666664,121.423340471164
